X0,ratio,X_final
0.0,0.0,0.0
0.0,0.0875,0.0
0.0,0.175,0.0
0.0,0.26249999999999996,0.0
0.0,0.35,0.0
0.0,0.4375,0.0
0.0,0.5249999999999999,0.0
0.0,0.6124999999999999,0.0
0.0,0.7,0.0
0.0,0.7875,0.0
0.0,0.875,0.0
0.0,0.9624999999999999,0.0
0.0,1.0499999999999998,0.0
0.0,1.1375,0.0
0.0,1.2249999999999999,0.0
0.0,1.3125,0.0
0.0,1.4,0.0
0.0,1.4874999999999998,0.0
0.0,1.575,0.0
0.0,1.6624999999999999,0.0
0.0,1.75,0.0
0.0,1.8375,0.0
0.0,1.9249999999999998,0.0
0.0,2.0124999999999997,0.0
0.0,2.0999999999999996,0.0
0.0,2.1875,0.0
0.0,2.275,0.0
0.0,2.3625,0.0
0.0,2.4499999999999997,0.0
0.0,2.5374999999999996,0.0
0.0,2.625,0.0
0.0,2.7125,0.0
0.0,2.8,0.0
0.0,2.8874999999999997,0.0
0.0,2.9749999999999996,0.0
0.0,3.0625,0.0
0.0,3.15,0.0
0.0,3.2375,0.0
0.0,3.3249999999999997,0.0
0.0,3.4124999999999996,0.0
0.0,3.5,0.0
0.05,0.0,0.0
0.05,0.0875,0.0
0.05,0.175,0.0
0.05,0.26249999999999996,0.0
0.05,0.35,0.0
0.05,0.4375,0.0
0.05,0.5249999999999999,0.0
0.05,0.6124999999999999,0.0
0.05,0.7,0.0
0.05,0.7875,0.0
0.05,0.875,0.0
0.05,0.9624999999999999,0.0
0.05,1.0499999999999998,0.0
0.05,1.1375,0.0
0.05,1.2249999999999999,0.0
0.05,1.3125,0.0
0.05,1.4,0.0
0.05,1.4874999999999998,0.0
0.05,1.575,0.0
0.05,1.6624999999999999,0.0
0.05,1.75,0.0
0.05,1.8375,0.0
0.05,1.9249999999999998,0.0
0.05,2.0124999999999997,0.0
0.05,2.0999999999999996,0.0
0.05,2.1875,0.0
0.05,2.275,0.0
0.05,2.3625,0.0
0.05,2.4499999999999997,0.0
0.05,2.5374999999999996,0.0
0.05,2.625,0.0
0.05,2.7125,0.0
0.05,2.8,0.0
0.05,2.8874999999999997,0.0
0.05,2.9749999999999996,0.0
0.05,3.0625,0.0
0.05,3.15,0.0
0.05,3.2375,0.0
0.05,3.3249999999999997,0.0
0.05,3.4124999999999996,0.0
0.05,3.5,0.0
0.1,0.0,0.0
0.1,0.0875,0.0
0.1,0.175,0.0
0.1,0.26249999999999996,0.0
0.1,0.35,0.0
0.1,0.4375,0.0
0.1,0.5249999999999999,0.0
0.1,0.6124999999999999,0.0
0.1,0.7,0.0
0.1,0.7875,0.0
0.1,0.875,0.0
0.1,0.9624999999999999,0.0
0.1,1.0499999999999998,0.0
0.1,1.1375,0.0
0.1,1.2249999999999999,0.0
0.1,1.3125,0.0
0.1,1.4,0.0
0.1,1.4874999999999998,0.0
0.1,1.575,0.0
0.1,1.6624999999999999,0.0
0.1,1.75,0.0
0.1,1.8375,0.0
0.1,1.9249999999999998,0.0
0.1,2.0124999999999997,0.0
0.1,2.0999999999999996,0.0
0.1,2.1875,0.0
0.1,2.275,0.0
0.1,2.3625,0.0
0.1,2.4499999999999997,0.0
0.1,2.5374999999999996,0.0
0.1,2.625,0.0
0.1,2.7125,0.0
0.1,2.8,0.0
0.1,2.8874999999999997,0.0
0.1,2.9749999999999996,0.0
0.1,3.0625,0.0
0.1,3.15,0.0
0.1,3.2375,0.0
0.1,3.3249999999999997,0.0
0.1,3.4124999999999996,0.0
0.1,3.5,0.0
0.15000000000000002,0.0,0.0
